,contrato_id,quantidade_campanhas_total,engajamento
115,022460cc9c80b4f75bcde5ad976c2b61,,0
116,0225798c5130522b09d9444cca190144,45.0,0
117,02284f430502b456888447b398375f06,,0
118,022c5035df0924f78b2e0311f9b04d2a,6.0,0
119,022f4306aa166df406ad0c39e23a02f0,2.0,0
120,02327afb932f1585efa149be8da6c996,9.0,0
121,023eff8d5d822aa109a3dca599ecc4ea,15.0,221
122,0240420b71f41cac63f621aa0ac7d221,,0
123,0243bd2785ff96b02c88694a2c9c2be9,3.0,0
124,024a24ae831f7816b126f30a174f4f6c,72.0,0
125,024ca3e90bb41ddb83f7be9c4179d19d,6.0,0
126,02500944946e86c84f2b319c3789f333,,0
127,025767579bb95fd8b327df4533d63560,4.0,0
128,025da346838f01b54a29ca3e1b0db203,1.0,0
129,025f7f2a8911a7a1c530c5b0029577b5,,0
130,026144821911fdb1d6e6a2735422b4cd,28.0,0
131,0262ef72a5ca35ce2b97527d49bf49a1,,0
132,0263bd6a141706052afc357a6ba3a4e6,5.0,0
133,026451ee1ec73e0a543859a1521d733a,23.0,0
134,0267f593b22e6882a6748d11d3420be0,10.0,4
135,026a57e672d704f5e60ff7340df3deb7,12.0,0
136,02844b7e03ad12cdde1e45912e0c9139,23.0,5
137,02855df183f95da14553155c578e6fab,,0
138,02890ac323f7c2e55b326e4798f08bea,9.0,67
139,028b530a638d4ccdfc9ab0e1ef2dcb2d,9.0,0
140,029203e4cb9f7cfcb969def41d7eff12,9.0,47
141,029d66c1bc3d1128aee493abed5aa9f7,1.0,0
142,02a0fac852ecb565e7cc5b2bb5025cd3,12.0,0
143,02a22b0e84e4543e1bd075d13cd8abea,40.0,243
144,02a24469fabc925b7e0e202876f7ad64,36.0,0
145,02a38140996447f51dd8215f35ec26c8,2.0,0
146,02a608dde27d2f40ba2624fc37ce2be4,18.0,0
147,02a7b236ae2ee5e4496b2d9983a869ab,21.0,0
148,02a7f46a14e1041a86dd337fcf6be465,51.0,11
149,02a8b07937605a3e52ed43ecb34c0f39,6.0,0
150,02a92d3d84b05474a2db3dee6a999162,76.0,0
151,02abba7a17ec9f8e7e0b98d30aec9416,9.0,354
152,02ad453c9f82a07c107782a7a8c3eb85,38.0,109
153,02af9f55448c406e5f1813d308dc19bf,6.0,0
154,02b5503f034688e99d2b6975d882ec14,12.0,441
155,02bcc0d9546e576a65cec0b06f5709b7,8.0,0
156,02bd7f7d7cfe4c063317639c7d9dd329,14.0,84
157,02c1fd1f25693d9b1adce5284e2810b4,23.0,41
158,02c462a8a5e337d4c4b21e01c001776c,19.0,56
159,02c73dac5667bf3815a07e717041132c,41.0,0
160,02d1cae67b53f438df01c669041e3760,38.0,0
161,02dcbe1e7d8d8406dce3898f09512fcb,2.0,0
162,02dcf343a40b3e45cbe4f3b6ec6916b6,4.0,0
163,02dd6ab881f433358ccfddfe830fbc35,9.0,0
164,02e490957b393334a810d7190a515ec1,6.0,0
165,02e581698874be3fcf973956f2628572,,0
166,02e5b668f58fab31383320e5d4348d37,14.0,259
167,02eeab71b9301ee6632dcf6146766ca7,,0
168,02f2305f8aa74c9ebe4491b0cbe7d0d1,,0
169,02fab8abcba523d4f331d4f7237a7dc1,29.0,84
170,02fb312b3cc2839032db1baf5c510e8c,,0
171,03030a46b3c6afb1a74fc9cf30d7bccd,3.0,0
172,0304fc3325a96d61be2ba826464b373f,6.0,0
173,0308c23cf82cb8fbbbda6c3ace0dfa5f,10.0,0
174,030a0c1d99b50d06bad608a6b4486810,1.0,0
175,030afde20f932828c88dbaf980b567eb,16.0,0
176,0315ef5e722efeaceb6ec9775ce56387,,0
177,0316fa1eed8ff63e5dac969568b0339c,27.0,0
178,0319fef28f9e4fce8d52c6e13eacd56c,10.0,6
179,031a5292cd525547baa0056cda9a6dfe,,0
180,031a943bfe9c1040a5bb787821876971,4.0,0
181,031d83a7da279155beed8f06f633eaad,,0
182,0325c0f069899d9423faecd9f5a4b809,13.0,0
183,03281e931f1dd1c1ab5f21c3a8d003d0,27.0,122
184,0328a436decf3bde1d08200ac21f990c,12.0,0
185,032984ca1e143582213e2ca012dfbb14,4.0,0
186,032d223aed24fcf8d1cc81c9b31273f8,55.0,0
187,0337489164d12772e9e8fe29275a2ec6,13.0,0
188,033915e5f7b205d5bb96cc1af0f0ca78,5.0,0
189,0339949c15b2e0af8ffd5374f3841061,8.0,0
190,0339a24155419bea123c24278ddcbc43,10.0,193
191,033b12bc17647c7cb6b55063022c738e,1.0,0
192,034208dc495b86a79b116e497c4b769f,2.0,0
193,035ca5b817c50bd0406f89114c8d7ebd,28.0,4
194,035ccfd1b3ae7c27328a013cf66e6188,30.0,0
195,037000de0c9a5e5c62c7f37df44e91cc,,0
196,0374a6e9211b433263d6c3dbd939a367,16.0,0
197,037c94cfa3ba1ec2c9b5174fb4779e02,35.0,0
198,037df671faaf44aeee25fcb9e846129f,22.0,280
199,038b960f0d53e1cd17c8b3b1d0d9f7bc,,0
200,038dd50fd3f4ffaeef2389decd564083,5.0,0
201,03acb0014f8bd8e5e4dd8c7a3b1ae5d6,43.0,0
202,03acf3da36e3e50895222020ea31d614,18.0,0
203,03b62321b08aea5c5ab76dd84ffcb216,7.0,0
204,03c26a0dc1ee38198fca1a467010a04b,6.0,0
205,03c8e6ac45ffc789aeb8e39b7f867a47,7.0,0
206,03d2622e12c7ed4b27df6738ef8673f7,2.0,0
207,03d3b0e470acbd2da7636c078f77021c,5.0,0
208,03d624913bbc92e3e3c61eb307f9529b,26.0,0
209,03dba080caa05d91168e9b0c7b45dd2f,33.0,0
210,03e6a9e393d25e1ff970292259379aff,,0
211,03e9dfc304237a86ca008805336a8d3d,55.0,0
212,03ea74b8e76cb333be7dfbcfebe734b6,20.0,265
213,03eef7bb5bffa72bb30afa50a154cfc4,,0
214,03f76531ce26fd962d198c4bb6e32404,33.0,17
215,03fdeeabe9a9844a188fca91911b3aff,26.0,0
216,03fed06bb171ccaac47895caa10b398a,39.0,0
217,0400f2f66ed1db0cb921ca6bb34ff972,38.0,217
218,040539a460cf1c29bfa83418393ecf4a,2.0,0
219,040695f91b7fcd3705d6b081712eff34,24.0,0
220,0410df083972b45cf824d413b668bc38,8.0,0
221,04143f701ea5e352b3169cb1b28d1808,,0
222,041447ce6290c67e81edc9bdc9f749f9,6.0,0
223,0419fa5b7581892b4811f25c70e640b5,15.0,0
224,041a91b84fd7ae96d253f27dd89aca44,2.0,0
225,04443ef0882e61fbd6258f20b8b20129,17.0,101
226,044635f31c100e43d479df88dd63d69a,8.0,0
227,044dc75914db67f3073eeeecbf838607,4.0,0
228,0450c116f123a88b1f42e98c262b201e,,0
229,04515ccb3e56f619f2452f341c860dc4,5.0,0
230,04524f49bc3b85cdcbe42a0f529d3dba,13.0,0
231,0454b63d379fa0821b8d92ced47213be,9.0,0
232,0456a4167be190041351ffa9112155da,7.0,0
233,045d813293184ece953501ac7d05545f,17.0,0
234,045e0db3e190eb55f20da48aa827384c,2.0,0
235,045f789cc112bc620ba469eab9fd742a,59.0,166
236,04611001b644ab4da9824373444952b0,4.0,0
237,0466d84dac35f4270cca6cbdd92ebe4d,46.0,32
238,046f6855549e700413febec0c03507dd,1.0,0
239,0471ed585efec59c7a64af1a7eda711c,,0
240,0480a6641d8041e4350f57976cad1c8a,1.0,0
241,048286c2f37f5fe09f603c53d0705207,59.0,0
242,048432625fdfd1d93a5d83e78895f85f,38.0,0
243,0493b166d4ac81610fd7752afd8abca0,,0
244,049409e822870e0a6f738a6c13725b03,17.0,0
245,049484a5b609d40ff456b1c4ae054d37,9.0,271
246,049759bfa6bc377e258f7b482efa9bef,25.0,0
247,049d1f676b451e4a15279dd1ec6959af,4.0,0
248,049dd269d502366c801dc4810bba7edc,26.0,179
249,04a0682609987bcd7bcc28f6608798bd,10.0,0
250,04a19cbc7d65031dfdf4413ae5ad9521,10.0,0
251,04a25f8ad25fc57714171c1c51cab468,8.0,0
252,04a3b29f9b0e0a47d69e5d1421f59ef9,6.0,0
253,04a41441f8eb4e39dbcd54bb9f4a338b,3.0,0
254,04aa4039a6ce6fe350646bc92f0a0659,31.0,28
255,04c801130b0da70cf39a48fc0356e464,12.0,0
256,04c8299f06a409b01a8a1783ee7c002a,28.0,28
257,04d294cd374ecfc76e19d29bcf5e9746,16.0,139
258,04d3e7998bb645ba9c29453649a6073e,40.0,84
259,04d40c005abbc8684b5e9cde03b46b9f,40.0,47
260,04d7579c6184e5715767b8b0a54f4f6d,48.0,20
261,04d9eef52480ae298af6e372dbb4c337,31.0,0
262,04e29d8c474c7d400e77bcb2286caff4,,0
263,04e2c11e90523ae5ad6a0ba9896bff04,9.0,0
264,04ed9dd102a3c8e3fb93d817305cf427,4.0,0
265,04edaa8bbf9c8d6f6c0a31337b2dd6c0,2.0,0
266,04f5398c31a0cc27a8fa6307eb1ef1bb,2.0,0
267,04f87f1ab99ecb9df64e23a51eaf3f1e,9.0,7
268,04fb8bdb700cbc8dcdcda7c4e733462f,28.0,119
269,04fdedc034005fd5f63214a1124ef8c9,16.0,0
270,04fe2fc552ee99f1eb96b0e08dbd05b5,6.0,0
271,050a163d9faf9d2c15eb72c1d8e48032,,0
272,050bb105e8b5f2640fde1e34aca99264,41.0,146
273,050bd07ad848a0f97884632cdc484dcd,17.0,6
274,050d60dcbded18fcdd3a8e7d4c45d97c,,0
275,050fed14f71f1c13224ccafcb186be68,,0
276,05183ea18d9fb8026f9a01210e43ed78,24.0,0
277,052734b960a61fd4bacef39f4fb56249,1.0,0
278,0529b2bec464b32f02c74ed0fc481852,1.0,0
279,052cd46ecbf14b55bbc5c10e634df4a7,1.0,0
280,0534cd44027bf8acbfcac2dff2f7e04a,15.0,118
281,05376d38d91b556a8bdabfb1b78c5a34,,0
282,053d4b1a551160e808f1a90da1a9d432,2.0,0
283,053d78adea4835279b58bc0c080f10bc,4.0,0
284,0541af74e24255a6ad25c4c0e74f40a5,20.0,0
285,0543cbd437cd7e8bd46cbdeb551c3165,27.0,7
286,054570f129f1279ae5de31f9d311adfc,1.0,0
287,054683975b1d7e8991c6806a2e577ce7,14.0,152
288,0547417d2e2106d955381d040c9dd6b3,,0
289,0549533b3020b4dd5ac1118259bcaabc,6.0,0
290,054cfa7f975c63690b560dad271bb23e,21.0,0
291,055167a205414a83e863e688cd9a4f02,20.0,14
292,0552fdebd6e14e1dffd7d4947c473e15,,0
293,05532772c2b45d015056f2f4646566c0,,0
294,0559303e4f2688f569c80ad30962605a,,0
295,055b013078a60bd51a114d320704639d,20.0,644
296,055f38d4e13f81ba4aaf11befe12a2f0,37.0,20
297,0564b0e149734e7c8a87094b84b64daf,9.0,280
298,057155733652fdc0cad56bc2f5c24ab0,43.0,7
299,05786371b7599ca00ab74b765124f958,11.0,0
300,0584b2208c657129d7534ea1e0f090a6,3.0,0
301,0587245a10b89d30f47719039625e94d,36.0,185
302,058d0e97482710b33a276cf7e6659694,23.0,0
303,058e3b822ad219aff079dd7d7a19e703,52.0,14
304,058f5baae55ae376d23506e1de08f6a8,4.0,0
305,05900a01d19695b8e953a1ce9e6d90b8,3.0,0
306,0593475bb4c7458b737f0b888ed5e1d5,,0
307,0597fe21acd9dae4f36c14714310437b,12.0,0
308,059877ae846ced1c339823594f111047,8.0,570
309,059a4b03ed04f6a1bd52c3570dbed571,,0
310,059eee6f2db13f16fa63920dfd2aaa98,3.0,0
311,05a54049b7db41d41ff26e963a16b70e,9.0,311
312,05a728bb0ce72ac12c73ef2bbb863fdc,2.0,4
313,05aada9280660e96338b9e0d210f49e2,,0
314,05ab170362f310cea38a3856a725abc0,30.0,19
315,05ad5ab796f17f60925f3818f1bf5be5,,0
316,05ae50a824fd19ad1e76f0185c9be9bd,1.0,0
317,05b2443dae11a819e987698f9767382a,14.0,0
318,05b817f6bc8658b4604341dae5878bcb,30.0,0
319,05d3d60fa17632856062287b3611634f,1.0,0
320,05e71b3c3f918576e73b7a800629ce5a,,0
321,05ec3c081687ffdd5cf04579e8a51679,17.0,0
322,05eddba83dc40815a1aa10b6d6259708,2.0,0
323,05f1493ebd4bd8c991f75bc19e260a03,15.0,0
324,05f84badc922696f7495cc24e5a601d7,20.0,0
325,05f8679e649aa3dbc536389d6b7f77eb,,0
326,05fae95b1049550ff3c5444b398b4722,30.0,0
327,05fc51d06000ab6aa369b85accc97d6a,25.0,95
328,05fc74146122f099a7ee194039d82cc5,,0
329,06124f4ef23851ba475e1b7c7382e18a,3.0,0
330,0620a1dca0201dfb656c94447fda048f,25.0,0
331,062d5b1fa87a193f96f68caa91bfef5a,7.0,0
332,06330fcaeb759785b4c637c859cea679,9.0,0
333,0633ed038d44e3e667811e6dc932b1a3,1.0,0
334,063430f18bd650ae7a255ecdfa846ca8,45.0,47
335,06362dbf28776ba1a9a518b6a40f5bd3,,0
336,0637f4cc65c00d49cbe83b01e192ebc7,24.0,4
337,06381055f2edc60117d05951983c6992,26.0,0
338,063839c27d79e01ac8e3acd697e966d1,1.0,0
339,063c1fe27288fb88fcf9b01731ade75d,1.0,0
340,063c4934a06077dab1b35453238ab75b,14.0,0
341,063fa00bda2b637856fa70532c8a824b,49.0,0
342,06427ca66b9a175afee79c26a0566994,2.0,0
343,06456d2f80b764bfc2e4bb8dac30d266,33.0,0
344,064bce16e73b528ce553c8447615fbd5,61.0,0
345,064c04c1cc400da708d1be999132fa08,6.0,0
346,064d189efb5c8b58a32622564390cf94,26.0,259
347,064e65fa058a0c72804e59db406fef88,6.0,0
348,065727878249cd90e61d12089d7d5750,1.0,0
349,06580d07166b7acfeaab7cebd1e08be1,8.0,0
350,065983b114edb0afe2c91754889aa471,17.0,69
351,0662cd4aa1ccad8949870fc1dec92393,13.0,0
352,0664165f554ac7390a1f606217002da8,6.0,0
353,06664852096f98a0117931ba3d32bfbe,19.0,0
354,0666b9a1bc570100702535e02d187bc6,,0
355,066dc3ab6197bfc054fffb40481630a1,2.0,0
356,06736333e9d4aa62fac88c7701b79cfb,9.0,0
357,0674d7d80af01cc2036bea5f3a048cc8,4.0,0
358,067729d379f50bd2bea8d896c9027335,15.0,91
359,067a8c0a41b69478f7fd3a0f77b49f5c,,0
360,067c59f4fdd26e650ae854f276ef9f44,32.0,17
361,067ef4cc06e2e775cd1664c7395dbd53,36.0,31
362,068aeca157b1767fc41a896f3402d378,24.0,19
363,068ebe9f585e40c12f40a8ac77a4ddae,28.0,25
364,0699f562098e7404809b0cb47e5668db,3.0,0
365,069e4221b41b07fdd0ad9bdafb62b2a2,1.0,0
366,06a6c927f8e10f6bac55e4c53731be03,57.0,27
367,06ad5def9da2e5c7ace262c231353447,8.0,0
368,06ae31712fa0fb4fdbedf4d00e5e4bda,1.0,0
369,06b3d77eea598ec720938e381a267716,,0
370,06b418e629a287351297d4caa7859270,1.0,0
371,06b4bffce7ef7844cd95f41aa227805c,10.0,0
372,06b53721dbebd6d2cb2aee3ea88b4ae2,51.0,21
373,06ba12c551d3b173ec3a6979d9a4974f,,0
374,06c49b3396668ebb8ade9a3425ed8ac8,2.0,0
375,06c7c23fbfb70100e240d86a69b90879,13.0,308
376,06cf3dca450d9f77a90bcfe6cdb0fde2,,0
377,06d08d7596e9ff13afbe7fee77b3f2c4,1.0,0
378,06d539ef164694574f303963fb8da792,32.0,5
379,06dafa8cef2426d3b18287c8a71f15b9,9.0,55
380,06ed4bcd056bc0f967dc5af5edbcf091,33.0,137
381,06f0fc95bedaa005998ece837b80df11,10.0,0
382,06f234b3cf626dd383e954473b98acfa,1.0,0
383,06f58845fc66500e59cd5523cb315718,5.0,0
384,06f5f8b7bd73b479ff10ffd1b41a70d1,40.0,175
385,06fa8e72feb63af9a563cfb8b62c51c6,54.0,221
386,06fc3c94f6df1cc624dfdc000d477565,4.0,0
387,06ff736ba6c535f87b6529b500861d2c,44.0,6
388,0704b5c75499022c15c6ee8ed3518169,1.0,0
389,070a2c5a1c7a208526f8b7b9d3a9e970,1.0,0
390,0713bbf74268a2a7b435ad6b1e367783,19.0,195
391,0714eb08407abfc840ce36cc6efe2cb7,31.0,175
392,0715d97b0441391a5c2d97077e0c2f56,57.0,21
393,07173e162d39df337524a167ee2a16c9,,0
394,071c59ce79dacd13acf4ab123b214aac,,0
395,07213ac4f5ff0180568443c1324e4999,7.0,0
396,0727383559617fa36359ec3ec9edcc2a,38.0,209
397,0729b3da5721cf11ecef1c44f2689db7,5.0,0
398,072c1f8de16dbcebc662f379e0cdc4af,3.0,0
399,0731c1717790a8bf960adb0b078c49a0,14.0,20
400,07353992233684404640b8dc9bd34f42,1.0,0
401,07390d023ec3a913e1343ff484564200,5.0,0
402,07480125ccb4ca53209f1746fa670ea6,39.0,7
403,074f402298ce69eb1e503705fda8f7b4,3.0,0
404,07591fb89c0a8aa1fbfa39e0d87a5189,35.0,0
405,075cc885c797381186cc74fc2d75a9d8,1.0,0
406,0761b94de28550723fb5d0b52fd95fa0,10.0,0
407,0768575e560bc9cbaf0ed565c06bd66e,1.0,0
408,0769d55c842d7cd9b0fc697de56336f5,21.0,0
409,076a13b868ecf301d7d1936c4a2529b6,16.0,0
410,0771f6f9ea8619154a38315267fc424f,9.0,612
411,077976fb0d1250fd658ec45f23bcf0c0,25.0,364
412,077c590f5210d13669b949aec866169c,58.0,0
413,0788304aef947110b10d22cb1781f22f,7.0,0
414,078adceb3cf93644b2514e597c141ff7,5.0,0
415,078b03da8037a39342a6f4b399c136fa,11.0,0
416,078c58480c6c230c6b1c36226b561610,17.0,0
417,0797d7718163703438b052f9e3c2763e,,0
418,079ba8e541d38c9ef9d7080c3f422acb,38.0,6
419,079f78e02d227e7849893873a2e083f8,2.0,0
420,07ab3308cd1fb9a721ad8b1c73942d6f,20.0,283
421,07acb3640bf376c0b79708fd11e6e709,7.0,25
422,07ae1ec322e6e6de4a3c4b406ab27bc1,,0
423,07b0674a7bbe5bae5d90d31a8553630c,15.0,291
424,07bfcf6acced976359f8529d58a0aaca,,0
425,07c0c4b7344840bb3334c3c6f066bf4d,1.0,0
426,07c9ecbf2c7fe057640f001634b74e31,,0
427,07cde4eebbc1c26151a2db835799618d,22.0,76
428,07d3486e13dc86ce9303f29b40ee73ea,1.0,0
429,07d55bf372301571537a2a541af87b6e,,0
430,07dd2e358d0f4e24cce476d78c4c8e55,29.0,0
431,07e127b9dbb167bd5b122c917a4b7c8a,13.0,0
432,07e2b93526165d5d0db9599423281384,1.0,0
433,07e5008c9a815aeac469b7b3486d0a49,8.0,0
434,07e6b634d0ac1077b7034a5dd6ff4816,8.0,0
435,07ed4c2b97ce9e2fe82938ecd2c25541,,0
436,07f36aa9f0a052ac28ff21360aaa3037,11.0,0
437,07fdaa6b70606399929e663413c19c62,29.0,0
438,080382537fcd3e0710d2ac40a699aedd,,0
439,081967ca2993234cd62a4064c8bab163,2.0,0
440,0819e07f8a2c9bfa49a84fb0dcdb1eac,,0
441,081a280b482e58818380645568de6fbd,,0
442,081d28f4c1cfd832593b92c1218e81b1,5.0,6
443,082384e7f08567976a6124985118f53e,16.0,0
444,0827181c87a20b95c5e04af3245c95cc,1.0,0
445,0829de8e76770db785cfe0354471fbd9,25.0,248
446,082ff104aabf971c8e7c1cfb4c4ad11b,48.0,0
447,083a3d731a2167d1192070833d63d346,12.0,0
448,084089a8f8534881373625e03437ffe6,15.0,256
449,084b8fd6f17ef2c237a5581b34817cb6,2.0,0
450,084cbb7442b7cb7ff0deff15a673cec9,8.0,0
451,08507586454fd8a59da0ff093733980f,2.0,0
452,0851672394fee55dac2040310780772c,16.0,264
453,085e1952f8638cb83bc4a0604b885a93,51.0,0
454,0872935a0fc7f061aa5bd5c21eeac663,1.0,0
455,087550e5307cbeb1bf3d85b30b649260,16.0,45
456,087dc5b78c26bdcdc366b0d7d347c8d9,15.0,473
457,088091499f0f7c9d5f58f265cc9fccdb,3.0,0
458,0887278d638f1c911a1577e47fe1a80a,9.0,496
459,088b30ef9e9bf6758869e140b21b1fb2,63.0,0
460,088b97c3a93063b2cf85157ebc0cd88f,,0
461,08953fd0a8d06e850a9820061c226ba8,,0
462,089a4e4d3e39924a4a89c717d8bfe1e0,4.0,0
463,089ba0fd1224134827ef4fdf0ef3347c,,0
464,089fbf8b4b32ec97759022f43ea5fcdc,6.0,0
465,08a98fc4ef9e15cbf752bb2e8edfa11b,14.0,0
466,08ab117fa6d635c5b12e5e1bf481e755,11.0,168
467,08acc08c658de4403c265658bcb1517e,,0
468,08ad83ad9f78429a35e47a99e6884332,,0
469,08b76dc5aa13e739efa6476ae026c596,3.0,0
470,08c16a9f3b6603a4ebcb52a1c290968f,2.0,0
471,08c223349ad7305fbd0ae70a34986f6f,69.0,0
472,08c3a3720ffd3903d9792c7f402025fd,7.0,55
473,08c472a5ab0f57f2daf3c846dae428d2,6.0,0
474,08c4f25889055618184d22eaad234dfe,9.0,0
475,08d5583b6a785b8dcf0fd653d2f9a397,3.0,0
476,08d836df4ffe923f0582d6c11b01a3fb,1.0,0
477,08d893153fd1158ecce972d521fb4cfa,2.0,0
478,08d992ade8869fe6d47ff30ff759738a,18.0,6
479,08ed5cbd9d8a2ef8e64458b9a7ea21f2,16.0,178
480,08f74c8748355c369accf476d6e1c1af,32.0,0
