"nr_documento","tipo_empresa","cidade","estado","subsegmento","segmento"
"b43998763febbde3c2585a28a4ca404e","PJ","Caraguatatuba","SP","Alimentação Rápida","Alimentação"
"923ac4e243134080b06b2e27039be906","PJ","Capivari de Baixo","SC","Saúde","Supermercado/Farmácia"
"8340e1c1fba45cd174637d0e492f37f1","PJ","Caxias do Sul","RS","Alimentação Rápida","Alimentação"
"f07a0890b3fbf18b8b7d93ea38585704","PJ","Imperatriz","MA","Bares e Restaurantes","Alimentação"
"0d61329d536b9a06746613e018bbb117","PJ","São Paulo","SP","Alimentação Rápida","Alimentação"
"04304d90e406e657219d4296017912b2","PJ","São Paulo","SP","Vestuário","Varejo"
"b121b5fff0d5a6215cc2dcd82c18ee03","MEI","Igaraçu do Tietê","SP","Alimentação Rápida","Alimentação"
"34be4bd7b5821b9d7d3bc22aaf4e7196","PJ","São Luís","MA","Outros","Serviços"
"1d062631eb164be5810cf82054b5a85d","PJ","Cabo de Santo Agostinho","PE","Alimentação Rápida","Alimentação"
"72e08414aaba8c4a59926616ed4f8003","PJ","Ilhéus","BA","Lazer & Turismo","Viagens e entretenimento"
"14e85a57be8e3948d507fcd451e59e05","PJ","Mogi das Cruzes","SP","Alimentação Rápida","Alimentação"
"a2bb5203224b3223a1513e54557d3127","PJ","Aracruz","ES","Alimentação Rápida","Alimentação"
"719ad3f5c31569a0d448bf9c7afca058","PJ","Rio de Janeiro","RJ","Bares e Restaurantes","Alimentação"
"eca48871324a1acf301381853238d0bd","PJ","Salvador","BA","Alimentação Rápida","Alimentação"
"f051382519100fc69462e9bb8393d0b8","PJ","Porto Alegre","RS","Outros","Serviços"
"aa840293e88a05951963131e0c6c0ee1","PJ","Macaé","RJ","Automotivo","Bens duráveis"
"3c918eaedf9dd9cadcab0fd7c1b32902","PJ","Sao Paulo","SP","Outros","Serviços"
"d06cfa6152a7f401fd7634163f5f8a1e","PJ","Parnamirim","RN","Alimentação Rápida","Alimentação"
"8e6a3388cf2f80c52b4ef746a80c035e","PJ","Petrolina","PE","Alimentação Rápida","Alimentação"
"5425f2e74350cc7e3971e891957e545c","PJ","Franco da Rocha","SP","Material de Construção","Bens duráveis"
"98a47d402078435864d0e0cfa2656816","PJ","Manaus","AM","Vestuário","Varejo"
"65f006149ea51f6c6dc8ef553114c7b5","PJ","Cascavel","PR","Lojas Diversas","Alimentação"
"9039d5120a00a440f32c4d4b65a43f91","PF","Atibaia","SP","Material de Construção","Bens duráveis"
"bab10798a1fc5ce238a7230f4ee4eb40","MEI","Castanhal","PA","Saúde","Serviços"
"7a866fe553b70249e9566e71faeaef6e","PJ","Ijuí","RS","Supermercados","Supermercado/Farmácia"
"415df10e34e178a5d950f281a3056458","PJ","Curitiba","PR","Lojas Diversas","Bens duráveis"
"6877628a7d6900f079d915d56b8703e1","PJ","São José do Rio Preto","SP","Vestuário","Varejo"
"cffc3a12c89c6d4b3cf2bc429ed8d2b9","MEI","Fazenda Rio Grande","PR","Outros","Serviços"
"86ecc65f4767ffd49b8d42b0a7ab40c0","PJ","Presidente Venceslau","SP","Automotivo","Serviços"
"9544bab062bfa48cabf83d58afde4e58","PJ","Ji-Parana","RO","Saúde","Supermercado/Farmácia"
"f077a28a690fe6224ef685af618df929","MEI","Piratininga","SP","Outros","Serviços"
"cc08b4c461bd344d5f6b1eb6143b6eb2","MEI","Belém","PA","Lojas Diversas","Alimentação"
"fd6af3f996db276f2e6f9ade5f261878","PJ","Nova Iguaçu","RJ","Outros","Varejo"
"d099101c67d5898e5704a3eb012198bc","MEI","Ribeirão das Neves","MG","Outros","Serviços"
"2ecd37e497b74238364bddd08ad4f220","PJ","Assis Chateaubriand","PR","Saúde","Serviços"
"7464e645b54710ba38a29664300bcf02","PJ","Itaquaquecetuba","SP","Material de Construção","Bens duráveis"
"1746e4823aa35ac1f26def8561c538fa","PJ","Taubaté","SP","Outros","Serviços"
"03cb55120883623a2d87933a73d57948","MEI","Taboão da Serra","SP","Vestuário","Varejo"
"2485a971f027379b9530a67ace4b9088","PJ","Cuiabá","MT","Lojas Diversas","Bens duráveis"
"bb1e35b43c09f193fefccfb863833e21","MEI","Maceió","AL","Alimentação Rápida","Alimentação"
"9f54cb440c6fb0f854ce846dea9bc8ec","PJ","Porto Alegre","RS","Saúde","Serviços"
"4756d9f3adb656c64509d00330056bfe","PJ","Campo Grande","MS","Vestuário","Varejo"
"8e4a25b80bf9379fd8a83a48d0d75748","PF","Eunápolis","BA","Lojas Diversas","Varejo"
"1f257aa147f0d3d4815d37a956be0cf2","MEI","Diadema","SP","Bares e Restaurantes","Alimentação"
"486b13997bedfa0202345fd8d61cdf85","PJ","Porto Alegre","RS","Supermercados","Supermercado/Farmácia"
"a0718684c2eeefc60a62ecf4de37de9f","PJ","Pindamonhangaba","SP","Vestuário","Varejo"
"e3a793c26c1d8c46e811c48ea258ea47","PJ","Olinda","PE","Material de Construção","Bens duráveis"
"18d9c1732d004965b732d41a67050d85","MEI","Araraquara","SP","Alimentação Rápida","Alimentação"
"20b07d2475b6bb512696ae9a866d364c","MEI","Blumenau","SC","Alimentação Rápida","Alimentação"
"4f634ffb496fafed7e3c527fe5d8418b","MEI","Sinop","MT","Alimentação Rápida","Alimentação"
"b7c8bec660aa995657ba90313199abe1","PJ","Camaçari","BA","Alimentação Rápida","Alimentação"
"3efab1e2f2af04e34644bb51880c0546","PJ","Rio de Janeiro","RJ","Lojas Diversas","Alimentação"
"b28200241b81caa5272e45edb4723927","PJ","Curitiba","PR","Material de Construção","Bens duráveis"
"cb410d300447eaafa111fb9a9e11300c","PJ","Serra","ES","Educação","Serviços recorrentes"
"fd726518d97a2afb96249b90d9de45b6","PJ","Mafra","SC","Supermercados","Supermercado/Farmácia"
"87206653b364f032c256d58d579597c2","PJ","São Paulo","SP","Bares e Restaurantes","Alimentação"
"be74f2bd7c989eafec96f874a75aa844","PJ","João Neiva","ES","Alimentação Rápida","Alimentação"
"3307807c949f20d8a8cfe6ac53b06c16","PJ","Garça","SP","Atacadistas Gerais","Varejo"
"4ec244f3a0d632a4c282eab6ebcb8e40","PJ","São Francisco Xavier","SP","Supermercados","Supermercado/Farmácia"
"5ced66f8cfcfc7593082f61e614082df","PJ","Rio de Janeiro","RJ","Lojas Diversas","Alimentação"
"cd1e4545e0bcf058311c2b9ae2a07427","MEI","Belo Horizonte","MG","Postos de Gasolina","Posto"
"9fcbfc7edfdaa9b6f6ccac0fd0fa9adc","PJ","Barbacena","MG","Material de Construção","Bens duráveis"
"47ff02919aba05ade61ecb8ae6e66f9f","PJ","São Paulo","SP","Lojas Diversas","Varejo"
"e28b1b41060671fae1d5fb8c94bf8db6","PJ","Manaus","AM","Alimentação Rápida","Alimentação"
"c8c2132d6c793a800e33daf0cfdc53be","PJ","Macapá","AP","Lojas Diversas","Bens duráveis"
"f801048f5745bd701f3dc9e3c440f170","PJ","Serra","ES","Lojas Diversas","Alimentação"
"91c01c8e91ecffc9234184cfe7c0c12b","MEI","Ipatinga","MG","Alimentação Rápida","Alimentação"
"da1e5483b8b7fc40db1158983da71cbb","PJ","Porto Alegre","RS","Supermercados","Supermercado/Farmácia"
"74526f9a7c7c0261ff711f3e773f3e8a","PJ","São Paulo","SP","Supermercados","Alimentação"
"119a51180d58060923cb70cd7297df95","MEI","Telêmaco Borba","PR","Alimentação Rápida","Alimentação"
"562abc3ddd20c1cce6da2dea346c918a","PJ","Gravataí","RS","Alimentação Rápida","Alimentação"
"94fbf547d4f60df7d7a31b35c95cf334","MEI","Brasília","DF","Alimentação Rápida","Alimentação"
"9b6741e2645a8548eb2309e5614b882c","PF","Valparaíso de Goiás","GO","Lojas Diversas","Varejo"
"bdc6391718491e7f6edf2a9e9b92ac37","PF","Magé","RJ","Lojas Diversas","Varejo"
"29c27b02f03f7e3298adbd25135a14e1","PF","Rio de Janeiro","RJ","Lojas Diversas","Varejo"
"ed6b4fc988ce4424f5269e1b877da48f","PF","Indaiatuba","SP","Lojas Diversas","Varejo"
"7947ed2920fb2f9aaade26bdf846c555","MEI","Santo Antônio do Descoberto","GO","Lojas Diversas","Alimentação"
"507a7d3f094454914fffcf208c39976b","PJ","Barretos","SP","Automotivo","Bens duráveis"
"4b5f990acac8e434ab6b6e8ec06dc9c0","PF","Curitiba","PR","Lojas Diversas","Varejo"
"11a6771ea39497117d8aee2c876257be","MEI","São Paulo","SP","Alimentação Rápida","Alimentação"
"39ffbfca2b38dbe77d5e55cc486829ee","PJ","Guarulhos","SP","Alimentação Rápida","Alimentação"
"7a8d184b43371e6a144ba2202e6ba071","MEI","Uberlândia","MG","Material de Construção","Bens duráveis"
"7c16d3c51c93142a01473ceb072505fe","MEI","Belém","PA","Saúde","Serviços"
"0d1be547f67284473255f6b351397fa0","PJ","Jacareí","SP","Bares e Restaurantes","Alimentação"
"a69f90568a33cb22d5f5b8b382dab9a5","PJ","Natal","RN","Outros","Serviços"
"924f6899fb5684d3452b32cf436f9574","PJ","Penha","SC","Vestuário","Varejo"
"20e44f554dcfb5bfe5629b8e523a3f13","PJ","Betim","MG","Supermercados","Supermercado/Farmácia"
"8eae83a2d70a9920c416920ac0d5787a","PF","Nova Andradina","MS","Lojas Diversas","Varejo"
"5f9a7632b3fc868278fd514dc9cf424e","MEI","Sete Lagoas","MG","Lojas Diversas","Varejo"
"8b4c2faf1f03479329df64da7320a6b4","PJ","Salvador","BA","Vestuário","Varejo"
"e9e0cbe9da1b1cd66b5b42607091110e","PJ","Fortaleza","CE","Saúde","Serviços"
"6864a754f26a63d4d62462efac3cef9b","PJ","Santa Maria","RS","Educação","Serviços recorrentes"
"5725d54a0c832a7dd972b5f2ab2048f0","PF","Bom Jardim","PE","Lojas Diversas","Varejo"
"81c5f78d05c1500133448ab611bc8650","PF","Montes Claros","MG","Lojas Diversas","Varejo"
"a1267bcb05915ae4a84a488e358008d6","MEI","Guarulhos","SP","Alimentação Rápida","Alimentação"
"fd5f477227020df2dbb8e25d6b81708f","PJ","Rio de Janeiro","RJ","Lojas Diversas","Supermercado/Farmácia"
"f66bfaa47f81f5326f14fc2fd34fbf3e","MEI","Cabo de Santo Agostinho","PE","Saúde","Bens duráveis"
"656f667d49bbfa35c2e78cb5caa33b21","PJ","João Pessoa","PB","Vestuário","Varejo"
"ce8848d4218a8e861ca58884aced0a54","PJ","Ijuí","RS","Outros","Serviços"
"51f298cd746858e5a4c003848339908c","PJ","Goianira","GO","Outros","Serviços"
"096ca7b4ae32683d8cd7ec2e0c42c695","PJ","Goiânia","GO","Supermercados","Supermercado/Farmácia"
"6ce4b7f95d09c26d31576a10cea913bf","MEI","Frutal","MG","Automotivo","Bens duráveis"
"6726991da299b335ef4ed55124909c04","PJ","Itaperuçu","PR","Automotivo","Serviços"
"62756dcd7575f70e2af28900a29a1044","MEI","Maringá","PR","Vestuário","Varejo"
"d6e1ffa9902a38aeed368c6af5cf2efa","PJ","São José","SC","Outros","Serviços"
"91082a6da9ba28507b7cf9c5a2bdaf95","MEI","Barra de São João","RJ","Vestuário","Varejo"
"656f667d49bbfa35c2e78cb5caa33b21","PJ","João Pessoa","PB","Lojas Diversas","Varejo"
"5611177302bbe95bfb7769d2d9868ebd","PJ","Toledo","PR","Alimentação Rápida","Alimentação"
"c2c3a77aae34146113f3930d6677e805","MEI","Rio de Janeiro","RJ","Bares e Restaurantes","Alimentação"
"7589549b54fbb39a88db2e49a1566ffa","PJ","Cachoeirinha","RS","Bares e Restaurantes","Alimentação"
"b260b5fec836f21b1ff8d9d135a7c438","MEI","Curitiba","PR","Alimentação Rápida","Alimentação"
"326f7525c2621cfd6f499a69af0206a4","PJ","Brasília","DF","Supermercados","Supermercado/Farmácia"
"7d8a35584ef0383c99125621a09beda4","PJ","Bombinhas","SC","Alimentação Rápida","Alimentação"
"7155f908f0277c64adbf7f717d56822a","PJ","João Pessoa","PB","Bares e Restaurantes","Alimentação"
"7d9315b75fb1f287a9d0320bb0f2385c","MEI","Brasília","DF","Lojas Diversas","Alimentação"
"0f93be5a56996d73fe33ef6a8d47f354","PJ","São José dos Campos","SP","Alimentação Rápida","Alimentação"
"7157628c314efdc07822c86bf896fe99","PJ","Ponte Nova","MG","Vestuário","Varejo"
"c25f3f65c0b1c97c6df85e8bd5642342","MEI","Braço do Norte","SC","Alimentação Rápida","Alimentação"
"ec28b34aa048354b60c7d37c453e6ef1","MEI","São Paulo","SP","Outros","Serviços"
"afb311ef69632c15778b44f69aa4c3c1","MEI","Rio de Janeiro","RJ","Alimentação Rápida","Alimentação"
"ee2465aac886d731e05e855ff593f598","MEI","Curitiba","PR","Outros","Serviços"
"72bc75224db39cd2c4912186bc72b2a3","PF","Recife","PE","Automotivo","Bens duráveis"
"956ee26edca7cbf2ca06cb40997cecb4","PJ","Belém","PA","Educação","Serviços"
"8406d599ad595686b8ecceddc5115296","MEI","Barra Bonita","PR","Lojas Diversas","Varejo"
"e95eac4e390f3284b66aee17389d9bb6","PJ","Volta Redonda","RJ","Supermercados","Supermercado/Farmácia"
"d25239bf48c5589d7d82ea46bcad6e08","MEI","Niterói","RJ","Alimentação Rápida","Alimentação"
"3dd6fa63229dce5dc48c743e9a24e1cb","MEI","Bauru","SP","Lojas Diversas","Varejo"
"ce5a6e52955fcf2add697d9ffb377f2e","MEI","Carapicuíba","SP","Automotivo","Bens duráveis"
"4945f1f180e4628fb782cbe3e728d4d2","PJ","Feira de Santana","BA","Vestuário","Varejo"
"b393ae5d6957a6e6204e760d313d5c27","PJ","Duque de Caxias","RJ","Material de Construção","Bens duráveis"
"466bb47c26f6ce5415e6e44ce0135e99","PJ","Camaragibe","PE","Material de Construção","Bens duráveis"
"079cce5e5745d7b265c408f02cfe634b","PJ","Cachoeira","BA","Alimentação Rápida","Alimentação"
"f32539cac127481ac709421683dc78dc","PJ","São José do Rio Preto","SP","Bares e Restaurantes","Alimentação"
"3b485691091e91383d81e72026b1d520","PJ","Caucaia","CE","Saúde","Serviços"
"57a080d442d43c90f75cf583a8af38f7","PJ","Serra","ES","Alimentação Rápida","Alimentação"
"3e5121dc0f39db3e5aa63b09656e50f5","PJ","Joinville","SC","Lojas Diversas","Alimentação"
"80c809d343594ee0ffa3350995b9dff0","PJ","Araçoiaba","PE","Saúde","Bens duráveis"
"1768b3cc67c167e26932dc6991d49003","MEI","Rio de Janeiro","RJ","Alimentação Rápida","Alimentação"
"78b17114bda42271bc116c550e598b19","MEI","Camaçari","BA","Lojas Diversas","Varejo"
"77194f5e27600a4bf76be002bb0fe0f0","MEI","São Paulo","SP","Alimentação Rápida","Alimentação"
"af06c51d55d8479cfcf88f78b65921fe","PJ","Barra Bonita","SP","Bares e Restaurantes","Alimentação"
"9b577b1e9d5f66bcf6f81878abed747f","PJ","Cristalina","GO","Alimentação Rápida","Alimentação"
"d027f6546b520a363d270dd41b318247","PJ","Estância Velha","RS","Lojas Diversas","Varejo"
"3d521196379c9206d5bc14b2aa11e722","MEI","Cristalina","GO","Vestuário","Varejo"
"8790a463be35207d7fa312329cf23edc","PJ","Santo André","SP","Alimentação Rápida","Alimentação"
"3a13d20eb87e5a27e84e3238596bcebe","PF","Caucaia","CE","Lojas Diversas","Varejo"
"762ccfd2483416a1895e1cdf00e7f343","PJ","Curitiba","PR","Lojas Diversas","Varejo"
"0a67a1135dfc252f079b7b09b88abfda","PJ","Lages","SC","Outros","Bens duráveis"
"8973de4b02c6537c9c3c1da386c127a6","PJ","São Bernardo do Campo","SP","Educação","Serviços recorrentes"
"bbc8aa25a16444d9dfdeba9510437d6d","PJ","São Luís","MA","Atacadistas Gerais","Serviços"
"c81d0941db5535a4bd0558523f03997a","PJ","Alto Araguaia","MT","Vestuário","Varejo"
"0522373702db9676670584739a05a698","MEI","Olinda","PE","Alimentação Rápida","Alimentação"
"79dbedd5045367d59ad12907b65ee55b","PF","Parnamirim","RN","Lojas Diversas","Varejo"
"875fd863b89fdde075d23ad46b98e0ad","PJ","Campo Grande","MS","Vestuário","Varejo"
"15e561191e54d62cdb1a17994971ce72","MEI","Rolim de Moura","RO","Lojas Diversas","Bens duráveis"
"397b487a83af1d59a767ec31b8e8104d","MEI","Serra","ES","Bares e Restaurantes","Alimentação"
"27607157ab644f01153981e818ac63e7","MEI","Jandaia do Sul","PR","Bares e Restaurantes","Alimentação"
"e215228b42dc009e5ef6fbd9922de3e7","PJ","Guarulhos","SP","Bares e Restaurantes","Alimentação"
"791d31a520ed16017d9529a631958668","PJ","Maceió","AL","Outros","Serviços"
"11484a7abe8135a867d587136aa90d99","MEI","Itupeva","SP","Bares e Restaurantes","Alimentação"
"407eed691b7759f444dad8004bdcd6ab","PJ","São Paulo","SP","Lojas Diversas","Bens duráveis"
"dda48de62b0d2e73ea093926010b79b9","PJ","Rio de Janeiro","RJ","Saúde","Supermercado/Farmácia"
"d49e9ee3fbb7cf7618563947487ba9ac","PJ","São Paulo","SP","Alimentação Rápida","Alimentação"
"0937a4ff926b9139f373b94c1954d46e","PJ","Nossa Senhora do Socorro","SE","Atacadistas Gerais","Supermercado/Farmácia"
"705c31c1359d7097d4cb047c9035b4f0","MEI","Barretos","SP","Lojas Diversas","Varejo"
"633bd0094c6970b7d2138380a44b40e3","MEI","São Paulo","SP","Alimentação Rápida","Alimentação"
"e7213b08fba6173961259f698071fcef","MEI","Maria da Fé","MG","Alimentação Rápida","Alimentação"
"6c70b2757cf67d8218d6de236f4276d8","MEI","São Paulo","SP","Bares e Restaurantes","Alimentação"
"a60e2890ff86da15d042be80264e6776","MEI","Brasília","DF","Alimentação Rápida","Alimentação"
"f14b2b851f811c3a05c26099e1185cce","MEI","Brasília","DF","Alimentação Rápida","Alimentação"
"bd1e43b18adb47c66c95d46d2156d36d","PJ","Guaranésia","MG","Alimentação Rápida","Alimentação"
"ef6862255a0741759cf16f52c36f635e","PJ","Nossa Senhora do Socorro","SE","Saúde","Supermercado/Farmácia"
"11cc552e44cdd4b83a750067c3eb17c5","PJ","Nossa Senhora do Socorro","SE","Saúde","Serviços"
"8e4f664879d7b10db4b1b81d3fc100c5","PJ","Presidente Olegário","MG","Atacadista de Alimento","Alimentação"
"281fbf65ea82206b971067ea774805ee","MEI","Campos dos Goytacazes","RJ","Outros","Serviços"
"823b7dcb03cf21ec38375285fe89f98d","MEI","Anchieta","ES","Alimentação Rápida","Alimentação"
"9f6338f6db84f6acf215afc7387a4f58","PJ","Forquilha","CE","Alimentação Rápida","Alimentação"
"ad4686635e8e830dde58fe31202c7faf","PJ","Macapá","AP","Academias","Serviços recorrentes"
"400e110dc314b93d686fd760aacc1930","MEI","Anchieta","ES","Alimentação Rápida","Alimentação"
"d613da7cbc9b99f90300e32a9fbab8ab","PJ","Luzimangues","TO","Supermercados","Supermercado/Farmácia"
"cf621c58f9056c3135c5ca5a59dabed9","MEI","Belo Horizonte","MG","Lojas Diversas","Alimentação"
"c06043e4cb194fabb06a1d6845a38e0b","PJ","São Carlos","SP","Supermercados","Alimentação"
"5d1273b13a50bf7596d2953ddb0c6fdf","PJ","Cariacica","ES","Automotivo","Serviços"
"a66b26a731be40f95624e3efc7dcb0a2","MEI","Porto Alegre","RS","Supermercados","Alimentação"
"ee069d1f7893be3d2ef4c071813bfc2f","PJ","São Paulo","SP","Outros","Serviços"
"c63cfd0c463d5f8b87f41b7fa85625e4","PJ","Joinville","SC","Outros","Serviços"
"cc9d153dde8cc73a304e82c73c975195","PJ","Bauru","SP","Alimentação Rápida","Alimentação"
"db9bd56f6ed50dd17cfb6fcbc6009d5f","PJ","Juazeiro do Norte","CE","Alimentação Rápida","Alimentação"
"edd044152e381de7f0b7e203cc6de8de","MEI","Pedro Leopoldo","MG","Bares e Restaurantes","Viagens e entretenimento"
"2bcdaa34bb1f3cb92d8ff3046aceea62","PF","Várzea Paulista","SP","Lojas Diversas","Varejo"
"e6f40a73899e76c3439cf57482985014","PJ","Londrina","PR","Material de Construção","Bens duráveis"
"4a73c9d0ce086a1c66c3bb1e163e6e7f","MEI","Presidente Prudente","SP","Lojas Diversas","Bens duráveis"
"6119697ec39761a87acc3317c3eda773","MEI","Ananindeua","PA","Atacadista de Alimento","Alimentação"
"99be0a99b6d8d430a235e95bb0ab720c","PJ","Carambeí","PR","Alimentação Rápida","Alimentação"
"a1f225247b1d5f67282e6fbc4d2345e2","PJ","Surubim","PE","Alimentação Rápida","Alimentação"
"ee2951504facb2f68c9ebe1d63341e0a","PJ","Alvorada do Sul","PR","Material de Construção","Bens duráveis"
"bdb74c631277d76e215bd91963cf6285","PJ","Santa Teresa","ES","Automotivo","Serviços"
"fb185de258dc0f41a25155c189b79cdb","PF","Guarujá","SP","Alimentação Rápida","Alimentação"
"b11357af3660aa6d37d9106350e32a1f","PJ","Itajaí","SC","Lazer & Turismo","Viagens e entretenimento"
"b97031ed1c807d8d6fcfa7cc838b1b13","MEI","Curitiba","PR","Outros","Viagens e entretenimento"
"65a4ac48a45d1f276ce8a2ef1d7abfed","MEI","Porto Seguro","BA","Alimentação Rápida","Alimentação"
"881092ade6d14f3257c56f736d744425","PJ","Feira de Santana","BA","Vestuário","Varejo"
"ab12120304616424dfa15820b9418d92","MEI","Tucuruí","PA","Alimentação Rápida","Alimentação"
"8dfbebb83d30b06dc6fc3d73c9164a72","PJ","São Sebastião","SP","Material de Construção","Bens duráveis"
"37df5e4b014f50639ae502f7672acab7","PJ","Cachoeiro de Itapemirim","ES","Alimentação Rápida","Alimentação"
"c5af72ba28a4716f101cdd94e69c53e3","MEI","São Paulo","SP","Atacadistas Gerais","Varejo"
"fbe08716ac21d32dd6a386bc0a3a6999","MEI","Itapevi","SP","Alimentação Rápida","Alimentação"
"cec4c9322b82b8115c88bfc9351bd5b0","PJ","Curitiba","PR","Supermercados","Supermercado/Farmácia"
"38bd7032e34aebe24fb40cd9eb956dde","MEI","Guarapari","ES","Bares e Restaurantes","Alimentação"
"f9c7ff9c94f0da530e5f550f59774b3e","MEI","Campo Grande","MS","Lojas Diversas","Bens duráveis"
"e7406dd6767ebc5b7b0ba29efb65a85e","PJ","Osasco","SP","Alimentação Rápida","Alimentação"
"97c5af052560b8bb83d4ad421f240de6","PJ","Marília","SP","Atacadista de Alimento","Alimentação"
"fe978cfd85da37e6db2abfdf94a62b3f","PJ","Brasília","DF","Saúde","Supermercado/Farmácia"
"cdd4a187cc61d4211146036c48f4ec3f","PJ","Brasília","DF","Alimentação Rápida","Alimentação"
"9067de34c92b1e012620c4809e676f30","PJ","Londrina","PR","Automotivo","Bens duráveis"
"d663a65df2b00c0c28f4809a43f3d690","MEI","Sarzedo","MG","Vestuário","Varejo"
